"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01-04","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6156","","","","0"
"2020-01-11","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6172","","","","0"
"2020-01-18","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6082","","","","0"
"2020-01-25","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6102","","","","0"
"2020-02-01","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5795","","","","0"
"2020-02-08","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5851","","","","0"
"2020-02-15","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5675","","","","0"
"2020-02-22","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5623","","","","0"
"2020-02-29","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5709","","","","0"
"2020-03-07","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5728","","","","0"
"2020-03-14","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5628","","","","0"
"2020-03-21","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5809","","","","0"
"2020-03-28","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5853","","","","0"
"2020-04-04","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6196","","","","0"
"2020-04-11","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6486","","","","0"
"2020-04-18","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6499","","","","0"
"2020-04-25","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6799","","","","0"
"2020-05-02","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6757","","","","0"
"2020-05-09","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","6289","","","","0"
"2020-05-16","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5991","","","","0"
"2020-05-23","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5792","","","","0"
"2020-05-30","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5751","","","","0"
"2020-06-06","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5459","","","","0"
"2020-06-13","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5112","","","","0"
"2020-06-20","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5249","","","","0"
"2020-06-27","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5250","","","","0"
"2020-07-04","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5050","","","","0"
"2020-07-11","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5212","","","","0"
"2020-07-18","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5114","","","","0"
"2020-07-25","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5127","","","","0"
"2020-08-01","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5096","","","","0"
"2020-08-08","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5068","","","","0"
"2020-08-15","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5281","","","","0"
"2020-08-22","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5240","","","","0"
"2020-08-29","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5069","","","","0"
"2020-09-05","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5242","","","","0"
"2020-09-12","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5156","","","","0"
"2020-09-19","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5146","","","","0"
"2020-09-26","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","5115","","","","0"
"2020-10-03","Canada, place of occurrence","2016A00000","Adjusted number of deaths","Number","223","units","0","v1210497880","1.1","","..","","","0"
"2020-01-04","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","6156","","","","0"
"2020-01-11","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","6172","","","","0"
"2020-01-18","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","6082","","","","0"
"2020-01-25","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","6101","","","","0"
"2020-02-01","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5791","","","","0"
"2020-02-08","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5845","","","","0"
"2020-02-15","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5669","","","","0"
"2020-02-22","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5617","","","","0"
"2020-02-29","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5701","","","","0"
"2020-03-07","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5719","","","","0"
"2020-03-14","Canada, place of occurrence","2016A00000","Lower 95% prediction interval of adjusted number of deaths","Number","223","units","0","v1210497881","1.2","5618","","","","0"
