"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999-01","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","225.1","","","","1"
"1999-02","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","223.0","","","","1"
"1999-03","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","227.5","","","","1"
"1999-04","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","232.3","","","","1"
"1999-05","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","252.2","","","","1"
"1999-06","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","258.0","","","","1"
"1999-07","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","271.9","","","","1"
"1999-08","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","256.6","","","","1"
"1999-09","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","247.1","","","","1"
"1999-10","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","243.0","","","","1"
"1999-11","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","241.0","","","","1"
"1999-12","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","231.1","","","","1"
"2000-01","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","225.2","","","","1"
"2000-02","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","226.3","","","","1"
"2000-03","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","229.4","","","","1"
"2000-04","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2091681","2.2.1.1","230.5","","","","1"
